#####################################################################
# Alchemist log file - simulation started at: 2025-04-20T14:53+0000 #
#####################################################################
#
# seed = 2.0, areas = 5, sparsity = 0.0, lossThreshold = 20.0
#
# The columns have the following meaning: 
# time AreaCount Discrepancy AreaCorrectness AverageLossTraining AverageLossValidation AverageAccuracy TrainLoss[min] TrainLoss[max] TrainLoss[mean] TrainLoss[variance] ValidationLoss[min] ValidationLoss[max] ValidationLoss[mean] ValidationLoss[variance] ValidationAccuracy[min] ValidationAccuracy[max] ValidationAccuracy[mean] ValidationAccuracy[variance] 
0.0 0.0 Infinity 0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.1 1.0 Infinity 0.0 NaN NaN NaN 2.29 2.29 2.29 0.00 2.7765954732894897 2.7765954732894897 2.7765954732894897 0.0 0.6015625 0.6015625 0.6015625 0.0
1.1 56.0 0.48307527453617005 0.0 2.070982386354187 2.431620816897838 0.7267316884504385 0.664 2.32 2.08 0.0538 1.380298376083374 3.582447052001953 2.400194739656789 0.3307573578849387 0.5703125 0.9140625 0.7200001449443414 0.005716609730271929
2.1 31.0 0.6595249495782576 0.0 0.7685828537536784 1.3867339367606635 0.8091751998001998 0.505 1.02 0.778 0.0209 0.7698345184326172 2.12090927362442 1.3832553417554923 0.12964474562236858 0.6796875 0.90625 0.8049049165120594 0.0024281656400317727
3.1 16.0 0.9358866917225587 0.0 0.4852020030532051 1.1207729665016888 0.8372865849428349 0.243 0.679 0.495 0.0133 0.5719562470912933 1.8604736328125 1.1222945959972483 0.09560293361283996 0.734375 0.921875 0.8327469126855288 0.0021832229888294544
4.1 19.0 0.9942609030976254 0.0 0.467484546505363 1.0718468967785064 0.8430217352092353 0.196 0.691 0.478 0.0170 0.5300855040550232 1.773795247077942 1.0734786622758423 0.09705850390676586 0.7421875 0.921875 0.8382330560064934 0.002141387770532326
5.1 14.0 1.1571595835697637 0.0 0.3597802249975283 0.9842353749161411 0.8525540431790433 0.138 0.525 0.368 0.0105 0.47137947380542755 1.7348914444446564 0.9847443596060786 0.08741351515376923 0.75 0.9296875 0.8486926020408163 0.00165966164026957
6.1 7.0 1.3510962197354268 0.0 0.296188018143703 0.945891104328115 0.8601730734543235 0.105 0.444 0.304 0.00801 0.4447048306465149 1.7076922953128815 0.9459244784499917 0.08596852250369645 0.7421875 0.9375 0.8567116477272727 0.0016269254575509533
7.1 13.0 1.0034379043901571 0.0 0.35600169429141404 0.9390154131420949 0.8612444846819847 0.138 0.521 0.364 0.0103 0.39906051754951477 1.7121718227863312 0.9392182241593089 0.08546802068746347 0.7734375 0.9375 0.8577353171382189 0.001610973167383086
8.1 10.0 1.2172777215424726 0.0 0.2890335305069446 0.9080731116710791 0.8673809697247197 0.102 0.437 0.296 0.00801 0.3971434682607651 1.727603018283844 0.9072027666760343 0.08555356962995153 0.7890625 0.9375 0.8645477011827458 0.001436469731380787
9.1 11.0 1.4097305519227012 0.0 0.24244371917701138 0.8987960516199023 0.8670819631757132 0.0791 0.379 0.249 0.00638 0.3922934830188751 1.7509299516677856 0.8977191102291856 0.08788629596977994 0.7734375 0.9375 0.8646183615491652 0.0014839313726662082
