#####################################################################
# Alchemist log file - simulation started at: 2025-04-19T14:23+0000 #
#####################################################################
#
# seed = 0.0, areas = 9, sparsity = 0.9, lossThreshold = 20.0
#
# The columns have the following meaning: 
# time AreaCount Discrepancy AreaCorrectness AverageLossTraining AverageLossValidation AverageAccuracy TrainLoss[min] TrainLoss[max] TrainLoss[mean] TrainLoss[variance] ValidationLoss[min] ValidationLoss[max] ValidationLoss[mean] ValidationLoss[variance] ValidationAccuracy[min] ValidationAccuracy[max] ValidationAccuracy[mean] ValidationAccuracy[variance] 
0.0 0.0 Infinity 0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.1 1.0 Infinity 0.0 NaN NaN NaN 2.24 2.24 2.24 0.00 2.0260945558547974 2.0260945558547974 2.0260945558547974 0.0 0.4186046511627907 0.4186046511627907 0.4186046511627907 0.0
1.1 56.0 0.19748501847555608 0.0 2.1508959121465563 2.0638104128984756 0.6231786534596613 1.90 2.26 2.16 0.00825 1.6713881492614746 2.259850025177002 2.053851575723716 0.019478330092823633 0.296875 0.8984375 0.6243186773255814 0.025686706575978574
2.1 26.0 0.24003662426530584 0.0 1.8408255917115959 1.7944511167797041 0.694641270994832 1.47 1.94 1.85 0.00943 1.3994442224502563 2.0377092361450195 1.7715236065643174 0.027530995991061184 0.4418604651162791 0.9296875 0.6977944611710963 0.01797178123385006
3.1 16.0 0.3439374337961644 0.0 1.4261264693712503 1.4684223037810975 0.8064583781940855 1.21 1.55 1.43 0.00936 1.0694657564163208 1.839147925376892 1.4416263124772482 0.03712469512629299 0.625 0.9375 0.8165262925664452 0.0050607099516535945
4.1 17.0 0.40363393668775205 0.0 1.304486310546413 1.3642337708561507 0.8316375968992247 0.911 1.50 1.30 0.0276 0.8803556263446808 1.790552794933319 1.3323581798800401 0.05120031489483625 0.6640625 0.9534883720930233 0.843250363372093 0.004110488655281264
5.1 17.0 0.5444027249827798 0.0 1.0382383328751343 1.1328877703643139 0.8615916819193224 0.682 1.26 1.03 0.0234 0.6710878610610962 1.60475093126297 1.099617091672761 0.04958494698767117 0.75 0.9651162790697675 0.87042864929402 0.0023857178163931357
6.1 13.0 0.692775323987007 0.0 0.8276834737149223 0.9619402740104699 0.872806309216193 0.517 1.20 0.820 0.0197 0.4910941869020462 1.5646878480911255 0.9275489782116242 0.046321400932557585 0.765625 0.9609375 0.8800580097591362 0.0020548946057510195
7.1 10.0 0.4955145334939897 0.0 0.8344603501616713 0.9646025703829011 0.8738639014498994 0.491 1.20 0.827 0.0204 0.5420607626438141 1.5646878480911255 0.9310360806328909 0.04685495040536656 0.765625 0.9534883720930233 0.8817970047757475 0.002042199629351
8.1 10.0 0.600559258810532 0.0 0.6667641878526642 0.8412600146767535 0.876567883290267 0.388 1.04 0.659 0.0163 0.42219142615795135 1.4352967739105225 0.8078288497137173 0.043015414567682646 0.7578125 0.9609375 0.8836852419019934 0.0019565741295909074
9.1 9.0 0.7053003519037623 0.0 0.5496289243293091 0.7556407827837969 0.8807315218561584 0.328 0.867 0.538 0.0117 0.35629041492938995 1.2566848397254944 0.7209883787270103 0.03949292958487855 0.7578125 0.9651162790697675 0.8879289088455149 0.002055584811067774
10.1 9.0 0.4625038842176214 0.0 0.5866651721356183 0.7798681701590985 0.8807533914728682 0.333 0.839 0.586 0.0166 0.3569086045026779 1.1817527413368225 0.753570294007659 0.03542116105082826 0.7734375 0.9651162790697675 0.8876466465946844 0.0019198795246876815
11.1 9.0 0.5405891158698517 0.0 0.49403374015503093 0.7140508945341462 0.880170201693942 0.288 0.712 0.489 0.0112 0.3270779997110367 1.0725095868110657 0.6861557340515512 0.031175351724224 0.75 0.9767441860465116 0.887640157807309 0.0020797384925402805
12.1 9.0 0.5834550459259822 0.0 0.4289219801490475 0.6663999356513406 0.8853499362977318 0.249 0.644 0.419 0.00756 0.3048318922519684 1.0221028327941895 0.6356154790680323 0.03050944451370286 0.7734375 0.9767441860465116 0.8923769725913622 0.0019134501121174654
13.1 9.0 0.43381628200963696 0.0 0.44551824240604176 0.6756161051215949 0.8840500960020098 0.260 0.627 0.439 0.00771 0.2944706976413727 1.016915738582611 0.6470168568193913 0.03023231968604809 0.7734375 0.96875 0.8908456187707641 0.0018877784183645254
14.1 9.0 0.45900312755946765 0.0 0.39487609925580214 0.6391974241921194 0.8872548359890898 0.231 0.587 0.385 0.00596 0.27884428203105927 0.9631180763244629 0.6087794424965978 0.029387484089855923 0.8046875 0.9765625 0.8937720618770764 0.0017473071035101232
15.1 9.0 0.5102600493916758 0.0 0.3599042668900311 0.6165887098529457 0.8912816492606948 0.214 0.554 0.348 0.00515 0.26838418841362 0.9400500953197479 0.5861760649297919 0.028899212778726893 0.8125 0.9767441860465116 0.8972597850913622 0.001602259416598888
16.1 9.0 0.40608190432374863 0.0 0.3707823498891245 0.6202427095929046 0.8904158367427506 0.225 0.540 0.362 0.00468 0.26511362195014954 0.9384260475635529 0.5914828573752727 0.027030438941168453 0.8046875 0.9765625 0.8962864669850499 0.0016150285579180387
17.1 9.0 0.44794561575960234 0.0 0.3421725906707622 0.6005115835570994 0.8964625053832902 0.207 0.514 0.332 0.00419 0.26511362195014954 0.9081194698810577 0.5716120105768953 0.026709020487189504 0.8203125 0.9767441860465116 0.901788958679402 0.0013905463521759031
18.1 9.0 0.4975195920761721 0.0 0.32168278299797126 0.5878631099138731 0.895383043532874 0.192 0.491 0.311 0.00404 0.2590327337384224 0.8886089026927948 0.5597704349617872 0.026040799984423116 0.8125 0.9767441860465116 0.9006112437707641 0.0013638060512565357
19.1 9.0 0.375238745484823 0.0 0.3281375307028293 0.5872261482348412 0.8959858598908986 0.203 0.488 0.318 0.00372 0.25770828127861023 0.8826315104961395 0.5593615360558033 0.025678479114513857 0.828125 0.9767441860465116 0.9010297705564784 0.0013140566843557232
20.1 9.0 0.42784247924516233 0.0 0.30992873581586244 0.575544262189924 0.8983741341874821 0.189 0.468 0.299 0.00352 0.2543676793575287 0.8798100054264069 0.5486072611861996 0.02505849547330704 0.8203125 0.9765625 0.9029147632890365 0.001189134248428863
21.1 9.0 0.47454878172756715 0.0 0.295225889406669 0.5651332933777645 0.9013882159776055 0.180 0.449 0.284 0.00346 0.25308576226234436 0.8777721524238586 0.5382151405460067 0.025191844442586417 0.8359375 0.9767441860465116 0.9055654329318937 0.0011199283366078612
22.1 9.0 0.3729316853446726 0.0 0.3021729519128907 0.5661695898958929 0.9018704690640251 0.186 0.454 0.292 0.00330 0.24978220462799072 0.873549222946167 0.5397757994277137 0.024463035531434692 0.8359375 0.9765625 0.9058444507890365 0.001161143797053311
23.1 9.0 0.420852903690603 0.0 0.288076627242605 0.5559406420790856 0.9037282649655469 0.176 0.437 0.277 0.00322 0.25151652842760086 0.8709618747234344 0.5297952563102756 0.024410014808128905 0.84375 0.9767441860465116 0.9075899345930233 0.0010119749092001896
24.1 9.0 0.47746583819389343 0.0 0.2760169568371963 0.5470364600603963 0.9057744760264141 0.167 0.420 0.265 0.00306 0.25442397594451904 0.8721328973770142 0.521247508536492 0.024339123462534275 0.84375 0.9767441860465116 0.9098869653239202 0.0010419237324222454
