#####################################################################
# Alchemist log file - simulation started at: 2025-04-19T14:51+0000 #
#####################################################################
#
# seed = 0.0, areas = 5, sparsity = 0.0, lossThreshold = 20.0
#
# The columns have the following meaning: 
# time AreaCount Discrepancy AreaCorrectness AverageLossTraining AverageLossValidation AverageAccuracy TrainLoss[min] TrainLoss[max] TrainLoss[mean] TrainLoss[variance] ValidationLoss[min] ValidationLoss[max] ValidationLoss[mean] ValidationLoss[variance] ValidationAccuracy[min] ValidationAccuracy[max] ValidationAccuracy[mean] ValidationAccuracy[variance] 
0.0 0.0 Infinity 0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.1 1.0 Infinity 0.0 NaN NaN NaN 2.02 2.02 2.02 0.00 2.376465320587158 2.376465320587158 2.376465320587158 0.0 0.6328125 0.6328125 0.6328125 0.0
1.1 56.0 0.4605316717071193 0.0 1.9803277750526154 2.3214873109545024 0.7439407467532467 0.705 2.08 1.98 0.0318 1.3286781311035156 3.6541565656661987 2.2557565718889236 0.29785127181572973 0.625 0.8671875 0.7403865665584416 0.004055311048909492
2.1 28.0 0.6848423441818783 0.0 0.7431352451443672 1.3917857539228031 0.8013900162337663 0.516 0.967 0.751 0.0140 0.7328236997127533 2.4120144844055176 1.3671056303594793 0.1515620637034998 0.65625 0.8828125 0.7979276582792207 0.0027659855799321916
3.1 15.0 0.8860251073326383 0.0 0.4774384123991643 1.1471288315100328 0.8236181006493506 0.262 0.673 0.487 0.0112 0.5081146210432053 2.0392507314682007 1.1293733378073998 0.11384051736878102 0.7421875 0.9140625 0.8209158308209648 0.002307136737303348
4.1 14.0 0.8397563451102801 0.0 0.4679183782051717 1.1004675194621085 0.8335430194805195 0.231 0.704 0.478 0.0140 0.5213583558797836 2.0365347862243652 1.0827735079718488 0.10772675768579021 0.75 0.9140625 0.8320747333024119 0.001958602659713262
5.1 13.0 1.0552739790294852 0.0 0.3631866871831673 1.0179338856892928 0.8447930194805193 0.177 0.547 0.372 0.00937 0.3908333033323288 1.9086634516716003 1.0000001788139343 0.10124670321891051 0.7578125 0.9375 0.842717271567718 0.001981681546000476
6.1 9.0 1.2589563655001776 0.0 0.3002931488431724 0.9905082854202817 0.8495312500000001 0.140 0.459 0.309 0.00763 0.34544478356838226 1.898725688457489 0.9700105993875436 0.10145871301932399 0.7578125 0.9375 0.8479950573979592 0.0020616673399737042
7.1 14.0 0.9570788826261248 0.0 0.36279653472293705 0.9696415826465403 0.8525405844155844 0.176 0.565 0.371 0.00891 0.4024685174226761 1.8729968667030334 0.9499050716736488 0.09556393649675547 0.78125 0.9296875 0.8507145756029685 0.001784941060274531
8.1 10.0 1.1704812878370285 0.0 0.2966441852173635 0.9438636258670261 0.8554119318181819 0.138 0.461 0.304 0.00726 0.3475841134786606 1.8708328604698181 0.9232545510998793 0.09881075888106403 0.765625 0.9453125 0.8537819602272727 0.0018822467912572092
9.1 9.0 1.3672191280126573 0.0 0.25243931638742134 0.9389418185608728 0.8558056006493506 0.110 0.402 0.260 0.00595 0.32747530937194824 1.8859783411026 0.9164671921836478 0.10108049449231325 0.7734375 0.9375 0.8543182542903525 0.0017746715546197442
10.1 10.0 0.9458789443118232 0.0 0.31198663714341823 0.906841646454164 0.8615280032467533 0.151 0.505 0.321 0.00796 0.3243752345442772 1.8090304732322693 0.8868767008451479 0.09309818190226779 0.7890625 0.9453125 0.8604783887987013 0.0017133098939142203
11.1 8.0 1.1565481853485107 0.0 0.25734892380423846 0.9010008087754249 0.8620900974025973 0.118 0.416 0.265 0.00632 0.30015522986650467 1.832068145275116 0.8795226944078293 0.09780426405733715 0.796875 0.9453125 0.8611070848794063 0.0017487695217952488
12.1 7.0 1.366492562230144 0.0 0.21844618410404243 0.9095667460560799 0.860625 0.0920 0.365 0.227 0.00537 0.2978161573410034 1.8643630146980286 0.8858798140926021 0.10167746024382986 0.7922077922077922 0.9375 0.8601323341836735 0.0015558543334995417
13.1 7.0 0.7889867394523963 0.0 0.28902493677567687 0.8738424830564432 0.8663027597402598 0.132 0.440 0.297 0.00685 0.2983698174357414 1.7899936437606812 0.8503115843715413 0.09422844357939959 0.7890625 0.9453125 0.8660134508348794 0.0014626077653477419
14.1 8.0 1.0175997383466788 0.0 0.23609464243586573 0.8735623280916895 0.8684151785714287 0.101 0.367 0.244 0.00520 0.28670574724674225 1.8265933990478516 0.8486391948536038 0.1008471334240727 0.7890625 0.9453125 0.8683633609693877 0.001490824715029286
15.1 7.0 1.1967706369076456 0.0 0.1997878723831049 0.8852190536154169 0.8667857142857143 0.0792 0.328 0.207 0.00435 0.29920513927936554 1.870959997177124 0.85814399218985 0.10513419493744167 0.78125 0.9375 0.8671077806122449 0.0014974950511860588
16.1 6.0 0.8050323140780842 0.0 0.2600117222133226 0.8476015811094216 0.8736870941558441 0.107 0.448 0.269 0.00677 0.2802155539393425 1.7741845846176147 0.8239119857815759 0.09581640254327656 0.7857142857142857 0.9453125 0.8737552904684601 0.001597085056645472
17.1 6.0 1.041438635151301 0.0 0.20983919436710755 0.8503301381319762 0.872903814935065 0.0890 0.382 0.218 0.00518 0.2759379893541336 1.8173361420631409 0.8247821856556193 0.10024455658969984 0.7987012987012987 0.9453125 0.873012450718924 0.001452721797479377
18.1 6.0 1.2625453450770248 0.0 0.1767865218212163 0.8649685720141445 0.8719683441558441 0.0688 0.337 0.185 0.00429 0.281562015414238 1.869859755039215 0.8367398153724416 0.10864691136812002 0.7890625 0.9453125 0.8719416743970315 0.0014832823879071992
19.1 6.0 0.6192366841668263 0.0 0.26053329938024816 0.8208159243634767 0.8776582792207792 0.113 0.400 0.267 0.00657 0.2775210216641426 1.7360886931419373 0.7956646032897489 0.09495064975856639 0.7922077922077922 0.9453125 0.8781742810760668 0.0014372173713688271
20.1 6.0 0.8667097850157214 0.0 0.20708251578500497 0.824800549192088 0.8760064935064935 0.0794 0.347 0.214 0.00503 0.27878426015377045 1.7773090600967407 0.7980835727815118 0.09803759676203765 0.7857142857142857 0.9453125 0.8765001739332097 0.0013803379475716977
21.1 6.0 1.0838662191640052 0.0 0.17235289536715884 0.8405867290816136 0.8753591720779219 0.0603 0.373 0.180 0.00473 0.2659294009208679 1.8308719992637634 0.8120776219293475 0.10445296718100495 0.7987012987012987 0.9453125 0.8760816471474954 0.0012455511508527228
22.1 6.0 0.6303941293406699 0.0 0.24259891929969726 0.802628632507154 0.8800081168831169 0.104 0.401 0.250 0.00568 0.27214331179857254 1.7483646869659424 0.7773625184116618 0.0946893417778556 0.7857142857142857 0.953125 0.8810804151205937 0.0014142528057596601
23.1 6.0 0.907635630434379 0.0 0.19126566869506081 0.8068783682584764 0.8800547889610391 0.0702 0.344 0.198 0.00441 0.29256758093833923 1.767432451248169 0.7799753126289163 0.09672349850206814 0.7922077922077922 0.9453125 0.8808466923701299 0.0013284989513471543
24.1 6.0 1.1134684432191508 0.0 0.15810983120613464 0.8202934399779354 0.8802637987012986 0.0519 0.302 0.165 0.00358 0.2606395184993744 1.8014593720436096 0.7922417250062738 0.10266207255922191 0.8116883116883117 0.9453125 0.8810079429499073 0.0011536441741170677
25.1 6.0 0.6160581080129902 0.0 0.22373067968524993 0.7842514198166983 0.8840523538961038 0.0978 0.375 0.231 0.00491 0.2727964445948601 1.7145127654075623 0.7591818577743001 0.09374237226341124 0.7987012987012987 0.953125 0.8852167642625232 0.0013247429602430757
26.1 6.0 0.8762029256984325 0.0 0.17378552831443292 0.7914340071593011 0.8833705357142856 0.0637 0.321 0.181 0.00402 0.29481588304042816 1.7489806413650513 0.7644574659477387 0.09605118485252595 0.8051948051948052 0.9453125 0.8844268176020408 0.0012781561408671358
27.1 5.0 1.0928732174927636 0.0 0.14276873395645193 0.8076523455019509 0.8827698863636364 0.0454 0.281 0.150 0.00334 0.2525959759950638 1.8019888401031494 0.77903819270432 0.1038995540628268 0.8116883116883117 0.9609375 0.8837745680658627 0.0013111084111917892
28.1 5.0 0.6358458406052419 0.0 0.20818245057482274 0.7681937864529236 0.8881026785714285 0.0909 0.366 0.215 0.00459 0.27318401634693146 1.7057456970214844 0.7425409872084856 0.09412603985184904 0.8181818181818182 0.953125 0.8887715242346939 0.0012375448530382025
29.1 5.0 0.8934377191322189 0.0 0.15956950667347494 0.7765625394667899 0.8871083603896104 0.0577 0.311 0.166 0.00363 0.2986328601837158 1.7326613664627075 0.7492074816088591 0.09593674654053355 0.8181818181818182 0.9453125 0.8879815775742115 0.0011204861740328666
30.1 6.0 1.10062185340694 0.0 0.13173722479409272 0.7911462641933135 0.8862865259740259 0.0404 0.270 0.138 0.00322 0.24802745133638382 1.7822328209877014 0.7631340025525007 0.10078387795508327 0.8051948051948052 0.953125 0.8874942022263451 0.0011846143155998575
31.1 5.0 0.591816358097962 0.0 0.19837254194991796 0.7530468800663949 0.8908340097402597 0.0761 0.368 0.206 0.00493 0.2752402126789093 1.7023866176605225 0.7266662368284805 0.09527433281915872 0.8246753246753247 0.953125 0.8915834444573284 0.0011287454185470217
32.1 5.0 0.850488617643714 0.0 0.15023839352086982 0.761645217058914 0.8909557629870131 0.0492 0.298 0.157 0.00375 0.24315080046653748 1.7263347506523132 0.7337581517973117 0.09804466240348829 0.8246753246753247 0.953125 0.8916305513682746 0.0010295765954125896
33.1 5.0 1.0759124897739718 0.0 0.12128601681241499 0.7793545115313358 0.8893770292207792 0.0364 0.254 0.128 0.00312 0.24315080046653748 1.7810971140861511 0.750122355696346 0.10410085519829723 0.8311688311688312 0.953125 0.8903514175556586 0.001003499956502793
34.1 5.0 0.6317225683586939 0.0 0.18626151852509273 0.7416449477523566 0.8953185876623376 0.0796 0.358 0.193 0.00494 0.27666621655225754 1.7096497416496277 0.7153207253930823 0.09734616589679058 0.8311688311688312 0.9609375 0.895743347054731 0.0010909228814508524
35.1 5.0 0.871709954568318 0.0 0.1393221171211917 0.7546197006851434 0.8920576298701299 0.0320 0.283 0.146 0.00365 0.29739946126937866 1.7336546778678894 0.7267956378470574 0.09845174794169284 0.8246753246753247 0.9453125 0.8926288555194806 9.538353058840693E-4
36.1 5.0 1.0728043357708625 0.0 0.11173934161729578 0.7701445372828415 0.8928896103896105 0.0320 0.242 0.118 0.00300 0.24151960015296936 1.787214756011963 0.7407788642282996 0.10627749054117729 0.8311688311688312 0.953125 0.8938608824211502 8.997744463049153E-4
37.1 5.0 0.5878425247435058 0.0 0.17795654839752909 0.7278988908550569 0.8964407467532467 0.0738 0.356 0.185 0.00499 0.2781960144639015 1.712169110774994 0.7009217788332276 0.10021615268310964 0.8311688311688312 0.9609375 0.8968358650278293 0.0010279438893074264
38.1 5.0 0.8653294466595565 0.0 0.13164229814312423 0.7414382790241921 0.8954159902597404 0.0426 0.285 0.139 0.00381 0.290083184838295 1.7307167649269104 0.7127987037279777 0.101141645788536 0.8246753246753247 0.953125 0.8964427035018553 0.001004587921435299
39.1 5.0 1.045868258550763 0.0 0.10531731315547535 0.7594485391676427 0.8946469155844156 0.0279 0.275 0.112 0.00336 0.23727631568908691 1.7886823415756226 0.729661179440362 0.10861566866546753 0.8311688311688312 0.9609375 0.895698051948052 9.52991076220119E-4
40.1 5.0 0.5396448287900004 0.0 0.1721497295219784 0.7135443973967007 0.899237012987013 0.0683 0.346 0.181 0.00599 0.28137610107660294 1.726726233959198 0.68481908539044 0.09994707384066383 0.8376623376623377 0.9609375 0.9000210169294991 9.678522429640567E-4
#####################################################################
# End of data export. Simulation finished at: 2025-04-19T15:20+0000 #
#####################################################################
