#####################################################################
# Alchemist log file - simulation started at: 2025-04-23T13:34+0000 #
#####################################################################
#
# seed = 2.0, areas = 3, sparsity = 0.3, lossThreshold = 20.0
#
# The columns have the following meaning: 
# time AreaCount Discrepancy AreaCorrectness AverageLossTraining AverageLossValidation AverageAccuracy TrainLoss[min] TrainLoss[max] TrainLoss[mean] TrainLoss[variance] ValidationLoss[min] ValidationLoss[max] ValidationLoss[mean] ValidationLoss[variance] ValidationAccuracy[min] ValidationAccuracy[max] ValidationAccuracy[mean] ValidationAccuracy[variance] 
0.0 0.0 Infinity 0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.1 1.0 Infinity 0.0 NaN NaN NaN 2.52 2.52 2.52 0.00 3.522196054458618 3.522196054458618 3.522196054458618 0.0 0.6260162601626016 0.6260162601626016 0.6260162601626016 0.0
1.1 56.0 0.46774262314041454 0.0 2.403579422376222 4.272678046590753 0.5925243545001397 1.06 2.56 2.42 0.0424 2.777935266494751 5.221088409423828 4.170049224581037 0.4080654965991707 0.43089430894308944 0.7194244604316546 0.5874850642134376 0.003211284384027168
2.1 54.0 0.8101856923765607 0.0 1.2508579134182245 2.786937923067146 0.6965086467411435 0.964 1.51 1.27 0.0235 2.218706965446472 3.54954993724823 2.738442968044962 0.12985478158718697 0.5934959349593496 0.7841726618705036 0.6913744265911312 0.0021076421398097825
3.1 27.0 1.1489427371157541 0.0 0.8365172076349457 2.2777839857671 0.7267612739077033 0.635 1.08 0.856 0.0159 1.539251446723938 3.073587119579315 2.234642077769552 0.12776748637529242 0.6178861788617886 0.8201438848920863 0.7222413706665329 0.0021626732357814945
4.1 17.0 1.3211851488384936 0.0 0.7182202216030822 2.075648033577535 0.7474154822483476 0.491 1.03 0.731 0.0153 1.4506968259811401 3.0442920923233032 2.030652305377381 0.1394781292424651 0.6260162601626016 0.8489208633093526 0.744300378512521 0.0019443423338106186
5.1 25.0 1.5708440401487882 0.0 0.5798258078543262 1.947364162446724 0.752190930182683 0.405 0.810 0.590 0.00876 1.3376925587654114 2.8186710476875305 1.903274746345622 0.13654228929683046 0.6260162601626016 0.8489208633093526 0.749990599854611 0.0019203847234409584
6.1 20.0 1.7871980385647879 0.0 0.49114041143804105 1.8808093290362093 0.757479788526902 0.343 0.668 0.499 0.00658 1.2724500894546509 2.847623109817505 1.837692485323974 0.13605513149462287 0.6666666666666666 0.8489208633093526 0.7550562337586377 0.0017816326210867278
7.1 15.0 1.4574616259584825 0.0 0.5403570836082239 1.819120892840955 0.768739073781625 0.298 0.768 0.551 0.0128 1.202196478843689 2.6740225553512573 1.7775390440864223 0.12848937257748205 0.6910569105691057 0.8489208633093526 0.7664492099700031 0.0018404866104594615
8.1 19.0 1.684806947906812 0.0 0.45656581119530726 1.790990810841322 0.7720404976831542 0.263 0.654 0.465 0.00851 1.1559562385082245 2.7387084364891052 1.7492226670895303 0.13247929948353085 0.6829268292682927 0.8561151079136691 0.7696661486142097 0.0016889746358612649
