#####################################################################
# Alchemist log file - simulation started at: 2025-04-23T11:34+0000 #
#####################################################################
#
# seed = 1.0, areas = 3, sparsity = 0.7, lossThreshold = 20.0
#
# The columns have the following meaning: 
# time AreaCount Discrepancy AreaCorrectness AverageLossTraining AverageLossValidation AverageAccuracy TrainLoss[min] TrainLoss[max] TrainLoss[mean] TrainLoss[variance] ValidationLoss[min] ValidationLoss[max] ValidationLoss[mean] ValidationLoss[variance] ValidationAccuracy[min] ValidationAccuracy[max] ValidationAccuracy[mean] ValidationAccuracy[variance] 
0.0 0.0 Infinity 0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.1 1.0 Infinity 0.0 NaN NaN NaN 2.54 2.54 2.54 0.00 3.5654613971710205 3.5654613971710205 3.5654613971710205 0.0 0.5365853658536586 0.5365853658536586 0.5365853658536586 0.0
1.1 56.0 0.4382895597567161 0.0 2.470372450262032 4.617742244154215 0.5534413932268819 1.54 2.57 2.48 0.0190 3.04012531042099 5.561005711555481 4.482427727963243 0.622458323405398 0.34146341463414637 0.7338129496402878 0.5466779886195573 0.005419617041796362
2.1 56.0 0.6644452648858229 0.0 1.6657982722476679 3.321573744631476 0.6794617151807009 1.30 1.88 1.69 0.0202 2.566723346710205 4.202077269554138 3.2551519221493175 0.19639851515220164 0.5365853658536586 0.7769784172661871 0.6733752370925559 0.0032511839640516466
3.1 43.0 0.9270564243197441 0.0 1.1560390566441197 2.629708107560873 0.7081846717747752 0.976 1.38 1.18 0.0158 2.1129058599472046 3.5292627811431885 2.5840617173484395 0.14281315237594105 0.5365853658536586 0.7841726618705036 0.7035601483969619 0.002799214463113563
4.1 27.0 1.15402006275124 0.0 0.9088174975304693 2.309613816233145 0.728485910458625 0.738 1.10 0.925 0.0101 1.7387889325618744 3.2322285175323486 2.2695005403033326 0.1403585268470373 0.5853658536585366 0.7985611510791367 0.7238164172494757 0.0024087936417881003
5.1 17.0 1.3834117940730517 0.0 0.7575372756734766 2.1364123057574034 0.7409852605720303 0.613 0.940 0.771 0.00742 1.5437203347682953 3.0650976300239563 2.098457422107458 0.14588289948711683 0.6097560975609756 0.8273381294964028 0.7366110595843882 0.0021970518624030585
6.1 28.0 1.6052726300226317 0.0 0.6616762444135492 2.034628469703926 0.7476271015707759 0.530 0.832 0.673 0.00563 1.4227106273174286 2.9708263874053955 1.9980959333479404 0.15285349787484548 0.6178861788617886 0.841726618705036 0.7432235396351908 0.002377631604152167
7.1 21.0 1.3752536810934544 0.0 0.6837154393584502 1.9818110834393237 0.7520248029218902 0.473 0.955 0.694 0.0100 1.3519983887672424 2.847474157810211 1.944805777498654 0.1534233776176474 0.6341463414634146 0.8489208633093526 0.7482996181452051 0.0021796812742241704
8.1 24.0 1.5803962676889365 0.0 0.6111338384863403 1.9237626443306606 0.7575723973666596 0.430 0.860 0.620 0.00753 1.3200221061706543 2.804541528224945 1.8878966165440423 0.16132326195055136 0.6504065040650406 0.8561151079136691 0.7532482724621696 0.0022080649179334858
9.1 17.0 1.7858751759760911 0.0 0.5579495684640413 1.885128682686223 0.7596378182007238 0.396 0.788 0.567 0.00655 1.2688652873039246 2.7752687335014343 1.848654574581555 0.16933107974456338 0.6422764227642277 0.8561151079136691 0.7554541732467684 0.002439463933732113
10.1 22.0 1.5712753795087337 0.0 0.5959388607750751 1.8445651280797188 0.7611345882643478 0.404 0.831 0.605 0.00869 1.2466880083084106 2.7540757060050964 1.8100715348763126 0.15603024907512872 0.6178861788617886 0.8489208633093526 0.7565435456512839 0.0026419288123794744
11.1 15.0 1.7629889603704214 0.0 0.5433681435814058 1.8192129971252546 0.7653373236370253 0.355 0.766 0.552 0.00726 1.2070509195327759 2.764145851135254 1.7845701692359788 0.1639816773552466 0.6341463414634146 0.8561151079136691 0.7607266103493512 0.002634547774210656
12.1 17.0 1.952702251987325 0.0 0.501580635810064 1.802586870888869 0.7685627920427885 0.345 0.711 0.509 0.00607 1.1747889518737793 2.7838668823242188 1.7680534640593188 0.17175033463623515 0.6585365853658537 0.8705035971223022 0.7637816576007487 0.0025632313389758682
13.1 13.0 1.717710592266586 0.0 0.5588305586500576 1.7682924742499988 0.7752395644460042 0.414 0.758 0.564 0.00588 1.1350321769714355 2.7606775164604187 1.7360360462750708 0.16400697422131402 0.6666666666666666 0.8705035971223022 0.7701821121500012 0.002695171248124777
14.1 16.0 1.8813544122709167 0.0 0.5115662143065559 1.7570808240109022 0.7755823796247555 0.383 0.706 0.516 0.00471 1.114212691783905 2.7826122641563416 1.7245123689728123 0.1731335270609567 0.6585365853658537 0.8848920863309353 0.771008280483627 0.0027205674802749558
15.1 15.0 2.0296446509245367 0.0 0.4720041541451658 1.753321912036174 0.7752046330415342 0.355 0.661 0.477 0.00409 1.1070806384086609 2.8173292875289917 1.7204829760427987 0.18408197894171238 0.6504065040650406 0.8848920863309353 0.7703941376515513 0.002917418149533597
16.1 13.0 1.8585494165567475 0.0 0.5196691393610781 1.719121994657649 0.7775738758586627 0.378 0.717 0.524 0.00615 1.0912838280200958 2.8050678968429565 1.6883965214448315 0.1727852680381623 0.6585365853658537 0.8776978417266187 0.7732476040073865 0.002978597310674606
17.1 15.0 2.0215253734754195 0.0 0.4773298436732687 1.7175421664077375 0.7793764988009593 0.350 0.644 0.481 0.00473 1.0824831426143646 2.839877128601074 1.6865182798355818 0.1831254567271219 0.6585365853658537 0.8776978417266187 0.7751798561151079 0.0031506751230454843
18.1 16.0 2.190776654933062 0.0 0.44197053448469553 1.7203956732733383 0.7810662039474111 0.324 0.626 0.445 0.00418 1.0807365477085114 2.888877809047699 1.6888328503285135 0.19626674407636677 0.6504065040650406 0.8776978417266187 0.7769669281996006 0.0029308706823087767
19.1 14.0 1.9932132730674414 0.0 0.4941467840474581 1.685113722561962 0.7808773306558005 0.330 0.688 0.498 0.00598 1.060006707906723 2.8550668954849243 1.6547527220100164 0.1802208902163682 0.6585365853658537 0.8848920863309353 0.7766598567835628 0.002946124797571694
20.1 13.0 2.14835173326234 0.0 0.45309727886019074 1.6882302046029105 0.784515477049255 0.306 0.629 0.457 0.00473 1.0607621669769287 2.885082423686981 1.657287900735225 0.19103343347311022 0.6585365853658537 0.8848920863309353 0.780117021365486 0.0029776459538912977
21.1 13.0 2.301768278599613 0.0 0.4194119099044689 1.6954132097048893 0.7834334158689309 0.284 0.582 0.423 0.00402 1.0568263530731201 2.9398022890090942 1.66396107843944 0.204995610507137 0.6504065040650406 0.8848920863309353 0.7796250804234661 0.002866752235424243
22.1 12.0 2.137514708356725 0.0 0.46781070604575453 1.6615798186717763 0.7873753842454491 0.295 0.703 0.472 0.00614 1.034312903881073 2.871561050415039 1.63171612338296 0.18270830100063046 0.6666666666666666 0.8861788617886179 0.7837298105766258 0.002985429985786313
23.1 13.0 2.286236686114636 0.0 0.42900333179730094 1.6698834682918255 0.7874493088456064 0.273 0.637 0.433 0.00515 1.0408657789230347 2.912171483039856 1.6392422526010446 0.19617746929680852 0.6585365853658537 0.8861788617886179 0.7836963878374652 0.0029185522695664963
24.1 12.0 2.4387413708286156 0.0 0.3971905728965928 1.6809605235854785 0.7865849596745367 0.253 0.581 0.401 0.00430 1.0415056943893433 2.9564841389656067 1.6497341777597154 0.21107743266738038 0.6585365853658537 0.8848920863309353 0.7827135504140242 0.00279671403553633
25.1 11.0 2.269957091504087 0.0 0.4493831286198218 1.6290250961772268 0.7932678247645786 0.258 0.686 0.454 0.00644 1.0108682811260223 2.9127987027168274 1.5986254388200385 0.18163290361130593 0.6585365853658537 0.8920863309352518 0.7896999473591858 0.0027944275983407952
26.1 11.0 2.413618869355155 0.0 0.41155102408784267 1.6424965247925785 0.7916150819182053 0.239 0.635 0.416 0.00527 1.023734837770462 2.9583499431610107 1.6110644148928779 0.19501197550696076 0.6504065040650406 0.8848920863309353 0.7878961639051129 0.0027721395154778434
27.1 11.0 2.5554923239784935 0.0 0.3809520210143765 1.655027826006214 0.7891040825875885 0.221 0.592 0.385 0.00444 1.0169626772403717 3.0045799016952515 1.6230594425329141 0.20612709124672426 0.6504065040650406 0.8848920863309353 0.7856954854235079 0.0027788851769201166
