#####################################################################
# Alchemist log file - simulation started at: 2025-04-23T13:00+0000 #
#####################################################################
#
# seed = 2.0, areas = 5, sparsity = 0.3, lossThreshold = 20.0
#
# The columns have the following meaning: 
# time AreaCount Discrepancy AreaCorrectness AverageLossTraining AverageLossValidation AverageAccuracy TrainLoss[min] TrainLoss[max] TrainLoss[mean] TrainLoss[variance] ValidationLoss[min] ValidationLoss[max] ValidationLoss[mean] ValidationLoss[variance] ValidationAccuracy[min] ValidationAccuracy[max] ValidationAccuracy[mean] ValidationAccuracy[variance] 
0.0 0.0 Infinity 0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.1 1.0 Infinity 0.0 NaN NaN NaN 2.29 2.29 2.29 0.00 2.7434933185577393 2.7434933185577393 2.7434933185577393 0.0 0.609375 0.609375 0.609375 0.0
1.1 56.0 0.47768810818099805 0.0 2.078550709667504 2.458145160045988 0.7290108329170828 0.693 2.32 2.09 0.0521 1.3930987119674683 3.586479902267456 2.4268810738410265 0.3240493147856665 0.5546875 0.9140625 0.7220927788729128 0.00618322805738933
2.1 31.0 0.6537570934301477 0.0 0.7939349063904165 1.4039536971087354 0.8114175754800754 0.537 1.05 0.803 0.0207 0.787854790687561 2.11185759305954 1.3995139636099339 0.1281471172892515 0.6796875 0.8984375 0.8069721851808905 0.002356446477097622
3.1 16.0 0.9357034327558041 0.0 0.494449488045779 1.1312791926735235 0.8376412649850151 0.255 0.686 0.504 0.0132 0.5775428414344788 1.8646998405456543 1.131972964586956 0.09667316011876093 0.734375 0.921875 0.8333973504174397 0.0020559358946387416
4.1 19.0 1.0113322977697377 0.0 0.4753157522166139 1.0818384272873713 0.8439252587690087 0.202 0.707 0.486 0.0174 0.5305423438549042 1.7752556204795837 1.0830940992704459 0.09922577542028627 0.7265625 0.9296875 0.8392549136131725 0.0021490790882071286
5.1 14.0 1.1843181860124063 0.0 0.36546784247554454 0.9908525365275459 0.8529584131146631 0.143 0.531 0.374 0.0107 0.4722420573234558 1.7300718426704407 0.9911638857530696 0.08811019804777023 0.75 0.9296875 0.8490187268089053 0.0017114471025711723
6.1 7.0 1.3749537159347525 0.0 0.30155895773918495 0.9517930602948613 0.8599183802308803 0.110 0.443 0.309 0.00802 0.43872277438640594 1.7112820148468018 0.9516247039926904 0.08719515334860915 0.7421875 0.9375 0.8563873347634509 0.0018140259433461594
7.1 13.0 1.019447394327869 0.0 0.3611571953044529 0.9455611020639225 0.8611247259684761 0.142 0.534 0.369 0.0102 0.3971353620290756 1.709738552570343 0.9459815049277884 0.08539919236337572 0.765625 0.9375 0.8575034061920223 0.0016622880846508409
8.1 10.0 1.233806205984093 0.0 0.29483123260178146 0.9133162584728506 0.8690167471417471 0.106 0.438 0.301 0.00795 0.3946200907230377 1.720867395401001 0.9126068279147148 0.08500672591373425 0.78125 0.9375 0.8659880855751392 0.001476053393161576
9.1 11.0 1.4214971065183817 0.0 0.24927459003491137 0.9032485197024176 0.8669196255133755 0.0829 0.381 0.255 0.00635 0.39024315774440765 1.7427722215652466 0.9023799513067517 0.08713910912588434 0.765625 0.9375 0.8640114071196661 0.0015606552237562008
10.1 11.0 0.8708854228403687 0.0 0.31954275643402247 0.8775382221294225 0.869917408979909 0.131 0.490 0.327 0.00865 0.3752514123916626 1.6284255981445312 0.8775165884622506 0.08278550682261167 0.7578125 0.953125 0.8665207560296846 0.0016312384527959899
11.1 10.0 1.0896331908260497 0.0 0.2625131261096133 0.8637548139526612 0.874596583971584 0.0997 0.401 0.269 0.00636 0.3724697083234787 1.6248614192008972 0.8629894112902028 0.08210572714961274 0.7734375 0.953125 0.8716807745825603 0.0015319294394346907
12.1 8.0 1.3050028545257848 0.0 0.22402074173912512 0.8643845338281337 0.8765073468198468 0.0789 0.346 0.230 0.00537 0.36796264350414276 1.6427209079265594 0.8628377834601062 0.08411882603863129 0.7734375 0.9453125 0.8739817660018553 0.0014120517282867218
13.1 8.0 0.9632679403264881 0.0 0.2783817569944116 0.8382294916371578 0.8794036692474192 0.115 0.443 0.285 0.00641 0.3341526538133621 1.6232682466506958 0.8373451296772275 0.08177084601403804 0.78125 0.953125 0.8762592039656771 0.0015204668061233313
14.1 9.0 1.1816110679240297 0.0 0.22957724287364956 0.8370927137622413 0.8810524544899545 0.0875 0.375 0.236 0.00502 0.3392711877822876 1.6232682466506958 0.8352777042559214 0.08221086810810019 0.7734375 0.9609375 0.8784442399118738 0.0014512082082799795
15.1 8.0 1.3490974409011378 0.0 0.19603141304784036 0.8433434464132527 0.8801798028360528 0.0696 0.331 0.201 0.00420 0.34154944121837616 1.6447430849075317 0.8415657752858741 0.08568442427160985 0.765625 0.953125 0.8776542932513914 0.0013486516106377359
16.1 8.0 0.8760378352728726 0.0 0.2602484000168384 0.8116557961344084 0.8862831612831613 0.103 0.435 0.268 0.00802 0.30273008346557617 1.647485375404358 0.8100958671420813 0.08610547812903688 0.796875 0.953125 0.8832563920454546 0.0014307397399545788
17.1 8.0 1.098043100665215 0.0 0.2115038522190474 0.8169889084773979 0.8845232024919525 0.0781 0.366 0.218 0.00571 0.31171637773513794 1.6300108432769775 0.8144385668316059 0.08650738535620016 0.796875 0.953125 0.8820950255102041 0.0012458542089406736
18.1 7.0 1.311853061122031 0.0 0.1792366850325123 0.8261233236472394 0.8848106754356755 0.0619 0.320 0.185 0.00448 0.32137998938560486 1.6399608254432678 0.8235959165862629 0.09113790337351453 0.8046875 0.953125 0.8823504899118738 0.0011868537996600793
19.1 7.0 0.9554506931441125 0.0 0.24319115920649703 0.7973331728117131 0.8901063346375846 0.0934 0.398 0.250 0.00666 0.28651151061058044 1.78221994638443 0.7935241170759711 0.09671385443600862 0.796875 0.953125 0.8876047222866419 0.0014917445479483316
20.1 7.0 1.1780050309912282 0.0 0.19523721715843415 0.8052083097362719 0.8898024718337219 0.0692 0.341 0.201 0.00505 0.2955196648836136 1.7406536936759949 0.8008185915116753 0.09544400493751862 0.796875 0.9609375 0.8875811688311688 0.0013396948676047235
21.1 7.0 1.3736063421950222 0.0 0.16424646877992047 0.8165073029681228 0.8879925629925628 0.0546 0.338 0.170 0.00434 0.30995430052280426 1.7319891452789307 0.8120591374380248 0.0993751337152789 0.796875 0.953125 0.885977722054731 0.0012058079301066325
22.1 7.0 0.8676587260050461 0.0 0.22422627309133655 0.7724286465293718 0.8923244290431791 0.0840 0.385 0.231 0.00542 0.2779768109321594 1.6432282030582428 0.7683842017182283 0.09316215337114082 0.8046875 0.953125 0.8897426513218923 0.0013574815895391786
23.1 6.0 1.121189325640675 0.0 0.1795851518439405 0.7858811967843169 0.8930062992562992 0.0608 0.326 0.186 0.00425 0.2865399867296219 1.6553203165531158 0.7813524510711432 0.09522439267964905 0.8046875 0.9609375 0.8909746782235621 0.001235801713371958
24.1 6.0 1.3121892207013421 0.0 0.1508224086273186 0.7978184250550908 0.8927135364635364 0.0476 0.284 0.156 0.00336 0.3002241998910904 1.6711013913154602 0.793285237359149 0.09935895938150217 0.8046875 0.953125 0.890882276205937 0.0012037915658915618
25.1 6.0 0.8038038357157781 0.0 0.21610443864665485 0.7541193004608656 0.8947601010101011 0.0772 0.364 0.221 0.00517 0.269450306892395 1.635087639093399 0.7500868836151702 0.09401386763940389 0.8046875 0.953125 0.8924857229823747 0.001297046820730366
26.1 6.0 1.0425814488986425 0.0 0.16968132868065636 0.7675395862862529 0.8963313596126096 0.0544 0.308 0.175 0.00389 0.2796650379896164 1.6412884891033173 0.7630174045584031 0.09498463105908696 0.796875 0.9609375 0.8943446341604824 0.0012029235890513306
27.1 6.0 1.233673749978395 0.0 0.14198294077538906 0.7826128410294326 0.8937807851870352 0.0419 0.269 0.147 0.00338 0.2944239526987076 1.6708446443080902 0.7782846031976598 0.10060552367378153 0.796875 0.953125 0.8919983476345084 0.0011688499473160676
28.1 6.0 0.6625224608363527 0.0 0.21185475567303338 0.7390939912248602 0.8958133012820513 0.0710 0.348 0.218 0.00437 0.2609045058488846 1.5972278416156769 0.7365027733945422 0.08713211718294193 0.8125 0.9609375 0.8933227765538033 0.0012807684706353975
29.1 6.0 0.9173827343708748 0.0 0.1639994844155303 0.7529185129091589 0.896148035991786 0.0490 0.291 0.170 0.00326 0.2720663473010063 1.6167169213294983 0.7497272432914801 0.0883622705387302 0.8125 0.9609375 0.8938337053571429 0.0010905446646362284
30.1 6.0 1.124813446128146 0.0 0.13639640607742826 0.7655363829144627 0.8963108072483073 0.0371 0.252 0.141 0.00263 0.2865327447652817 1.6516019701957703 0.762554497724133 0.09354537929617715 0.8046875 0.9609375 0.8939732142857143 0.0010932303415942823
31.1 6.0 0.7637950310039262 0.0 0.2059969167658605 0.7198607793864523 0.8973646145521146 0.0646 0.336 0.212 0.00384 0.2579328566789627 1.6023125052452087 0.7163235984210458 0.08350186554004524 0.8203125 0.9609375 0.8951363926252319 0.0011713583978107494
32.1 5.0 0.9674623449544211 0.0 0.15685734288761552 0.7330289855870665 0.8989893786768786 0.0431 0.280 0.162 0.00278 0.26696503907442093 1.6325811743736267 0.7293322830061827 0.0841864012777986 0.8203125 0.9609375 0.8965532235621522 0.0011465486181139973
33.1 5.0 1.1634120838400501 0.0 0.12770381649882387 0.7475817858375579 0.8982310224497725 0.0318 0.241 0.133 0.00222 0.2859511524438858 1.6651146113872528 0.7436564297282271 0.09079291877062995 0.8125 0.9609375 0.8960441065630798 0.0011080013292300939
34.1 5.0 0.696637385685147 0.0 0.1938265748778869 0.7071134206354585 0.8998128607503608 0.0589 0.363 0.199 0.00448 0.25364623218774796 1.6705920696258545 0.7018638627071466 0.08925949982859735 0.8203125 0.96875 0.8977635088126159 0.0013068186417212729
